Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Medicines
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,"Clotrimazole, Fluconazole"
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,"Clotrimazole, Fluconazole"
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,"Clotrimazole, Fluconazole"
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,"Clotrimazole, Fluconazole"
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,"Clotrimazole, Fluconazole"
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,"Cetirizine, Loratadine"
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,"Cetirizine, Loratadine"
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,"Cetirizine, Loratadine"
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,"Cetirizine, Loratadine"
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,"Cetirizine, Loratadine"
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,"Omeprazole, Pantoprazole"
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,"Omeprazole, Pantoprazole"
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,"Omeprazole, Pantoprazole"
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,"Omeprazole, Pantoprazole"
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,,,,,,,,,,,,,"Omeprazole, Pantoprazole"
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,,,,,,,,,,,,,"Omeprazole, Pantoprazole"
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,"Omeprazole, Pantoprazole"
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,Ursodeoxycholic acid
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Ursodeoxycholic acid
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Ursodeoxycholic acid
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Ursodeoxycholic acid
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Ursodeoxycholic acid
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Ursodeoxycholic acid
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,,,Ursodeoxycholic acid
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,,,,Ursodeoxycholic acid
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"Antihistamines, Corticosteroids"
